
2024/01/07 (17:48:40) | ===> btop++ v.1.3.0
2024/01/07 (17:48:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/07 (17:49:54) | ===> btop++ v.1.3.0
2024/01/07 (17:49:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/08 (22:34:04) | ===> btop++ v.1.3.0
2024/01/08 (22:34:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/06 (23:40:48) | ===> btop++ v.1.3.0
2024/03/06 (23:40:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (04:19:06) | ===> btop++ v.1.3.0
2024/04/12 (04:19:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (04:19:34) | ===> btop++ v.1.3.0
2024/04/12 (04:19:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (04:19:43) | ===> btop++ v.1.3.0
2024/04/12 (04:19:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (04:36:24) | ===> btop++ v.1.3.0
2024/04/12 (04:36:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
